
   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.  

   INFO  Server running on [http://127.0.0.1:8017].  

  Press Ctrl+C to stop the server

  2026-08-04 22:55:06 /login ............................................................................. ~ 513.34ms
  2026-08-04 22:55:07 /storage/branding/hLCkFcfW9DZqlNXwjq2rh6nzbTV32S1u8137lrRW.png ....................... ~ 0.85ms
  2026-08-04 22:55:07 /favicon.ico ......................................................................... ~ 0.87ms
  2026-08-04 22:55:16 /login ............................................................................. ~ 506.98ms
  2026-08-04 22:55:16 /dashboard ......................................................................... ~ 507.50ms
  2026-08-04 22:55:17 /vendor/select2/select2.min.css ...................................................... ~ 0.36ms
  2026-08-04 22:55:17 /storage/branding/fMIeRMuRvh9sW2xCprPUo5lIUbOgklw0MtsxvsBC.png ....................... ~ 1.99ms
  2026-08-04 22:55:17 /vendor/jquery/jquery.min.js ......................................................... ~ 3.27ms
  2026-08-04 22:55:17 /vendor/select2/select2.min.js ....................................................... ~ 5.13ms
  2026-08-04 22:55:17 /notifications/unread-count .......................................................... ~ 0.34ms
  2026-08-04 22:55:17 /storage/branding/EaeqN2EZx4jViruvQb2V6DADwIZwb1Ye9AOPKxqE.png ....................... ~ 0.20ms
  2026-08-04 22:55:22 /quotations/create ................................................................. ~ 515.02ms
  2026-08-04 22:55:23 /vendor/select2/select2.min.css ...................................................... ~ 0.19ms
  2026-08-04 22:55:23 /storage/branding/fMIeRMuRvh9sW2xCprPUo5lIUbOgklw0MtsxvsBC.png ....................... ~ 0.18ms
  2026-08-04 22:55:23 /vendor/jquery/jquery.min.js ......................................................... ~ 1.60ms
  2026-08-04 22:55:23 /vendor/select2/select2.min.js ....................................................... ~ 0.27ms
  2026-08-04 22:55:23 /notifications/unread-count .......................................................... ~ 0.27ms
